#{"t_start": 1771986408.1810482, "env_id": "None"}
r,l,t
1358.782183,1000,9.409304
3922.693483,1000,18.508471
2388.914443,1000,27.569381
2739.656426,1000,36.658626
3287.720593,1000,45.607433
3896.833079,1000,54.779395
3429.212692,1000,63.954763
3421.752101,1000,73.520942
3924.187759,1000,83.517865
3380.392457,1000,92.637159
3407.279732,1000,102.440029
3272.69851,1000,111.989278
3499.39199,1000,121.206896
3329.095365,1000,130.402288
2819.702161,1000,140.236607
2851.836197,1000,150.513802
3587.838277,1000,160.765788
3495.179752,1000,170.752715
3155.724917,1000,179.950785
3196.121423,1000,189.808297
3283.325167,1000,199.357303
3044.111451,1000,210.204957
1559.193912,1000,221.37443
1975.211065,1000,232.931107
2449.076768,1000,242.749135
2712.293174,1000,252.169229
3184.892947,1000,262.151233
2485.963522,1000,271.511855
2115.964831,1000,281.174142
3300.157138,1000,290.938375
3386.122522,1000,300.37522
1890.77038,1000,310.701684
1954.268092,1000,321.109215
1852.224263,1000,331.987405
2206.886681,1000,343.221112
2440.942737,1000,354.299607
2657.902604,1000,363.877114
2633.982764,1000,376.627135
1342.948981,1000,387.299398
1640.72891,1000,398.521425
2223.425381,1000,408.489622
2748.841141,1000,418.296296
2715.031411,1000,428.3246
2595.443646,1000,438.685514
2209.631575,1000,450.221112
1636.256268,1000,460.094636
1674.60383,1000,470.178621
2546.703745,1000,484.935818
2782.217636,1000,497.746263
1841.520339,1000,508.719478
2069.699702,1000,520.664239
3005.508514,1000,532.774755
2559.081468,1000,544.841945
2280.890795,1000,557.17194
2509.253558,1000,567.206565
2198.438415,1000,576.992319
1854.489675,1000,586.685639
2036.47067,1000,596.608552
2858.757189,1000,606.188639
2890.242968,1000,618.278974
2532.960827,1000,630.462504
2409.29557,1000,642.449428
2506.514771,1000,653.67
2375.855051,1000,663.807164
2271.607007,1000,673.600142
3140.194679,1000,683.306399
2183.6475,1000,692.639379
2270.729683,1000,702.318619
2271.256447,1000,712.407577
2005.704973,1000,722.749722
2181.152977,1000,732.424735
1993.332031,1000,742.273575
2362.871371,1000,752.653159
2412.351475,1000,763.349949
2514.68943,1000,773.559989
2840.711196,1000,783.615844
2193.563113,1000,793.998284
2238.20377,1000,804.324486
2276.887841,1000,814.098887
2802.886978,1000,823.743664
2457.334297,1000,833.460304
2058.778046,1000,843.309687
1963.266889,1000,853.393444
2107.862526,1000,862.786085
2428.413924,1000,872.585777
2315.506975,1000,882.356425
2911.084693,1000,891.962589
2152.749673,1000,902.533525
2522.107122,1000,913.444143
2358.425668,1000,923.370603
2319.370831,1000,933.232146
2139.746848,1000,943.010267
2370.103173,1000,952.289476
1892.773537,1000,961.747552
2547.447859,1000,971.061374
2142.07538,1000,980.555069
2073.600728,1000,990.133827
2643.052417,1000,999.732461
1877.63613,1000,1008.900934
2241.695406,1000,1018.359489
