episode,steps,avg_tilt_error,std_tilt_error,max_tilt_error,avg_angular_vel,std_angular_vel,avg_velocity,reward
1,2000,0.008209,0.008543,0.043797,0.013828,0.022415,3.877172,2651.74
2,2000,0.005803,0.006838,0.047392,0.011970,0.011498,3.880269,3972.09
3,2000,0.018317,0.007717,0.054805,0.011508,0.021201,3.879712,-1454.93
4,2000,0.020075,0.004946,0.046781,0.008824,0.015816,3.879902,-2135.75
5,2000,0.025627,0.010796,0.069549,0.011372,0.022857,3.879701,-2206.75
6,2000,0.041396,0.008760,0.076400,0.008188,0.014762,3.878830,-2718.25
7,2000,0.040164,0.008088,0.084312,0.010297,0.021632,3.878691,-2644.46
8,2000,0.015057,0.012129,0.064476,0.018172,0.027651,3.879799,89.00
9,2000,0.002780,0.003377,0.042257,0.036471,0.044827,3.879476,6856.73
10,2000,0.002570,0.003425,0.040447,0.044190,0.062475,3.879382,7296.25
11,2000,0.002584,0.004086,0.044796,0.031900,0.052250,3.879483,7328.33
12,2000,0.003684,0.006220,0.094030,0.028207,0.070475,3.878540,6019.98
13,2000,0.002346,0.005642,0.095382,0.025553,0.052222,3.879212,7760.52
14,2000,0.002208,0.004278,0.059991,0.028747,0.058071,3.878633,7946.38
15,2000,0.002775,0.005738,0.104818,0.029849,0.067069,3.879247,7607.66
16,2000,0.002410,0.006006,0.090756,0.035546,0.078624,3.878643,7783.17
17,2000,0.003222,0.007146,0.108001,0.036962,0.084102,3.877831,7268.39
18,2000,0.003497,0.007926,0.143832,0.029969,0.075004,3.878387,7039.37
19,2000,0.003503,0.008922,0.170272,0.034128,0.089714,3.876342,6685.09
20,2000,0.004137,0.011890,0.143620,0.045035,0.117564,3.876323,7030.52
21,2000,0.004117,0.011180,0.138371,0.044396,0.110365,3.875109,6808.22
22,2000,0.003657,0.009163,0.142641,0.038829,0.094284,3.876651,6948.62
23,2000,0.003816,0.010043,0.129448,0.048650,0.109357,3.876179,7211.60
24,2000,0.003652,0.010692,0.193321,0.045987,0.107631,3.874530,7132.99
25,2000,0.003413,0.010774,0.139367,0.047615,0.112746,3.875436,7572.25
26,2000,0.004381,0.013294,0.163731,0.053920,0.134563,3.873513,7051.36
27,2000,0.004491,0.014251,0.204182,0.060029,0.145042,3.871351,7014.95
28,2000,0.007169,0.020894,0.294807,0.057883,0.159850,3.868256,6289.09
29,2000,0.006565,0.017146,0.221168,0.059663,0.142721,3.867018,6629.92
30,2000,0.006005,0.019953,0.249896,0.070765,0.172026,3.860860,6362.66
31,2000,0.005160,0.015602,0.191559,0.061535,0.149495,3.861883,6333.00
32,2000,0.006200,0.018829,0.256547,0.071703,0.170352,3.851999,5968.88
33,2000,0.007816,0.029756,0.349408,0.077483,0.212689,3.845496,6142.86
34,2000,0.011130,0.038922,0.425800,0.095077,0.252260,3.832909,5485.20
35,2000,0.007534,0.023336,0.322074,0.052652,0.159177,3.858274,6810.38
36,2000,0.007446,0.023965,0.258491,0.059127,0.177434,3.848426,6673.51
37,2000,0.012977,0.040271,0.408332,0.059923,0.173190,3.858489,6203.25
38,2000,0.008318,0.036115,0.493571,0.070842,0.220499,3.834186,6657.05
39,2000,0.012535,0.037158,0.352819,0.075728,0.225582,3.838725,6123.39
40,2000,0.008939,0.030692,0.394438,0.059942,0.184208,3.847195,6628.35
41,2000,0.016695,0.050442,0.495336,0.081245,0.252064,3.827241,5889.38
42,2000,0.013132,0.040555,0.419123,0.070808,0.211197,3.838971,6287.54
43,2000,0.013248,0.038691,0.389631,0.077460,0.226588,3.834584,6081.49
44,2000,0.007414,0.028423,0.390328,0.073378,0.213399,3.846508,7040.38
45,2000,0.009583,0.032826,0.385661,0.071196,0.218529,3.829695,6630.85
46,2000,0.011856,0.043014,0.477195,0.086885,0.262171,3.833287,6429.47
47,2000,0.010624,0.032937,0.380370,0.073386,0.217039,3.836492,6507.33
48,2000,0.010879,0.038804,0.471301,0.077331,0.238147,3.829350,6518.08
49,2000,0.010223,0.039722,0.516187,0.076912,0.245129,3.837891,6511.49
50,2000,0.013557,0.039338,0.328116,0.079586,0.224860,3.838192,6216.83
51,2000,0.006852,0.028908,0.333183,0.066043,0.207970,3.836883,7241.77
52,2000,0.013118,0.046304,0.496556,0.084610,0.256853,3.817227,6340.09
53,2000,0.007926,0.031915,0.390261,0.073078,0.226011,3.844015,7179.26
54,2000,0.006388,0.025558,0.316382,0.064610,0.189316,3.843054,7239.15
55,2000,0.011847,0.043486,0.454583,0.090421,0.271804,3.827848,6174.10
56,2000,0.010979,0.038023,0.429618,0.079915,0.233153,3.835324,6508.26
57,2000,0.017454,0.053844,0.496264,0.095601,0.283161,3.812686,5978.70
58,2000,0.009125,0.032736,0.315602,0.063200,0.181157,3.832890,6844.85
59,2000,0.009305,0.033003,0.316245,0.064309,0.197901,3.847453,6874.16
60,2000,0.013584,0.048371,0.476461,0.092572,0.275680,3.815165,6267.67
61,2000,0.010356,0.037703,0.383725,0.085865,0.258101,3.835016,6537.48
62,2000,0.010383,0.041860,0.415400,0.086561,0.265827,3.830652,6492.46
63,2000,0.015308,0.045459,0.423433,0.078538,0.232373,3.843076,6166.46
64,2000,0.010777,0.036650,0.351217,0.073206,0.221252,3.836306,6636.92
65,2000,0.013279,0.047479,0.462538,0.092474,0.281285,3.812450,6383.39
66,2000,0.015626,0.048623,0.417535,0.083577,0.249892,3.839300,6297.62
67,2000,0.010536,0.039223,0.492782,0.086923,0.236474,3.824241,6287.37
68,2000,0.013801,0.044617,0.432420,0.076228,0.241264,3.830210,6466.21
69,2000,0.008922,0.029930,0.373324,0.065409,0.196117,3.836569,6870.10
70,2000,0.008088,0.029427,0.347633,0.066644,0.208801,3.833720,6756.46
71,2000,0.014169,0.045474,0.443329,0.092077,0.270148,3.830056,6246.54
72,2000,0.007548,0.028678,0.305524,0.068824,0.211283,3.845385,6926.82
73,2000,0.009990,0.038711,0.483188,0.079604,0.243135,3.840887,6560.55
74,2000,0.008833,0.034721,0.431930,0.067993,0.218092,3.827870,6875.89
75,2000,0.013198,0.041425,0.347997,0.065413,0.202779,3.839721,6601.43
76,2000,0.007976,0.032218,0.418309,0.081469,0.222883,3.831007,7056.44
77,2000,0.008588,0.039333,0.459359,0.074407,0.236358,3.828844,7147.28
78,2000,0.008597,0.032746,0.400582,0.073447,0.224257,3.835270,6732.21
79,2000,0.011760,0.038876,0.374458,0.079267,0.220993,3.836994,6435.93
80,2000,0.010532,0.032415,0.265040,0.056247,0.171324,3.834185,6791.86
81,2000,0.006867,0.027829,0.331318,0.065175,0.202612,3.842053,6962.28
82,2000,0.013624,0.043500,0.444557,0.094006,0.274481,3.826127,6298.28
83,2000,0.007141,0.028757,0.385927,0.068028,0.206540,3.836411,6912.44
84,2000,0.012514,0.042953,0.393929,0.090812,0.267529,3.828583,6456.38
85,2000,0.010788,0.039911,0.397359,0.080877,0.250342,3.812816,6655.23
86,2000,0.008131,0.029492,0.332497,0.064682,0.195389,3.849326,6967.43
87,2000,0.007864,0.033882,0.383492,0.073436,0.232469,3.832932,7149.65
88,2000,0.009639,0.034756,0.392551,0.070933,0.220613,3.836423,6778.67
89,2000,0.012675,0.043306,0.408217,0.083159,0.250088,3.815263,6482.37
90,2000,0.006319,0.028499,0.357506,0.063483,0.198588,3.843505,7361.51
91,2000,0.008478,0.034130,0.415388,0.070884,0.220315,3.845194,6869.14
92,2000,0.013683,0.046202,0.445785,0.088457,0.259498,3.829352,6267.32
93,2000,0.009551,0.034169,0.467574,0.077072,0.221765,3.833257,6531.85
94,2000,0.007341,0.028730,0.341763,0.068917,0.210245,3.848856,6872.91
95,2000,0.010707,0.033614,0.389552,0.068033,0.205953,3.845156,6676.11
96,2000,0.009770,0.042697,0.435918,0.082085,0.259003,3.835023,7015.65
97,2000,0.012252,0.040537,0.399638,0.081832,0.230097,3.841944,6436.79
98,2000,0.012106,0.042415,0.462654,0.084453,0.239001,3.837462,6389.35
99,2000,0.012216,0.040831,0.502952,0.089036,0.254502,3.826943,6449.38
100,2000,0.012925,0.042967,0.392906,0.085409,0.241663,3.832841,6380.42
101,2000,0.011124,0.036027,0.415497,0.076279,0.227884,3.837050,6662.75
102,2000,0.008077,0.030347,0.385657,0.063401,0.200097,3.843517,6851.73
103,2000,0.014906,0.046217,0.311614,0.070430,0.214491,3.843349,6417.46
104,2000,0.009138,0.030588,0.382443,0.065045,0.193865,3.843430,6871.06
105,2000,0.017309,0.052784,0.488027,0.107937,0.304507,3.816733,5967.98
106,2000,0.007815,0.027253,0.296817,0.071459,0.201141,3.849240,6913.22
107,2000,0.012649,0.038927,0.320468,0.065848,0.194058,3.848674,6611.47
108,2000,0.011879,0.042482,0.497857,0.077338,0.233682,3.835352,6642.02
109,2000,0.011870,0.040998,0.461605,0.081293,0.244939,3.835326,6492.26
110,2000,0.012015,0.043705,0.482543,0.095119,0.278347,3.826588,6324.92
111,2000,0.015373,0.047867,0.452078,0.084935,0.230274,3.829330,6182.04
112,2000,0.010399,0.035716,0.313882,0.070665,0.197603,3.824486,6720.69
113,2000,0.010457,0.040583,0.390119,0.088419,0.262446,3.824057,6586.27
114,2000,0.009964,0.033054,0.358402,0.072979,0.219975,3.837999,6744.35
115,2000,0.008480,0.034916,0.449361,0.078596,0.235819,3.827220,6829.85
116,2000,0.009325,0.037436,0.431866,0.078668,0.242422,3.831730,6665.89
117,2000,0.009937,0.034382,0.350087,0.075272,0.223016,3.842647,6733.36
118,2000,0.012286,0.040717,0.390357,0.085603,0.247604,3.841170,6414.55
119,2000,0.013312,0.045657,0.435432,0.097162,0.281799,3.829001,6389.84
120,2000,0.011524,0.047525,0.487421,0.089637,0.275301,3.825741,6485.83
121,2000,0.010010,0.034168,0.342764,0.080520,0.233947,3.840010,6654.56
122,2000,0.010051,0.031217,0.306082,0.064119,0.184177,3.843010,6850.93
123,2000,0.009905,0.034367,0.392737,0.070844,0.205024,3.829149,6612.86
124,2000,0.008955,0.031346,0.409224,0.067972,0.197530,3.839707,6924.97
125,2000,0.015231,0.048626,0.362778,0.070272,0.223355,3.848164,6358.01
126,2000,0.013515,0.045328,0.447594,0.091791,0.256777,3.821646,6393.26
127,2000,0.008967,0.035905,0.371893,0.081044,0.242269,3.837062,6695.94
128,2000,0.013151,0.041551,0.437779,0.075389,0.220049,3.835536,6509.78
129,2000,0.009026,0.032503,0.328400,0.076095,0.224658,3.834167,6681.01
130,2000,0.012763,0.039578,0.364478,0.076727,0.221535,3.829927,6500.97
131,2000,0.011989,0.039004,0.362120,0.065014,0.188379,3.842923,6569.17
132,2000,0.011878,0.042028,0.427070,0.085102,0.244079,3.820699,6569.39
133,2000,0.013403,0.046046,0.462447,0.089406,0.250305,3.831346,6357.07
134,2000,0.012676,0.043937,0.453249,0.085438,0.256631,3.829158,6393.30
135,2000,0.016250,0.050873,0.422219,0.076091,0.233307,3.836533,6290.53
136,2000,0.006464,0.027117,0.324525,0.064454,0.193354,3.845411,7245.34
137,2000,0.013775,0.045113,0.434057,0.066007,0.204121,3.836002,6510.08
138,2000,0.006199,0.024532,0.293399,0.058952,0.185223,3.845376,7148.89
139,2000,0.009140,0.034097,0.408738,0.081159,0.232698,3.836507,6715.52
140,2000,0.014699,0.047424,0.491248,0.098779,0.286248,3.819581,6200.34
141,2000,0.014562,0.048234,0.465336,0.096801,0.285203,3.823041,6226.16
142,2000,0.006713,0.029365,0.326461,0.071072,0.213709,3.843965,7246.79
143,2000,0.006322,0.024300,0.284576,0.065548,0.188743,3.831416,7068.48
144,2000,0.013941,0.045035,0.397836,0.066490,0.209506,3.839605,6525.61
145,2000,0.007615,0.029761,0.401212,0.060927,0.203731,3.830523,7037.42
146,2000,0.015989,0.050835,0.503093,0.089389,0.268313,3.832366,6228.15
147,2000,0.010831,0.038136,0.387316,0.076143,0.233242,3.834794,6612.16
148,2000,0.010380,0.036291,0.382506,0.078282,0.234796,3.847392,6650.52
149,2000,0.008589,0.033395,0.439407,0.072885,0.218209,3.834528,6827.03
150,2000,0.011600,0.039405,0.368446,0.086326,0.246593,3.842644,6555.78
151,2000,0.007870,0.027651,0.304946,0.056275,0.175536,3.853777,7034.74
152,2000,0.005826,0.020855,0.278414,0.052889,0.159367,3.834436,7251.01
153,2000,0.011322,0.036702,0.421203,0.069266,0.202200,3.819704,6745.36
154,2000,0.012321,0.045302,0.479056,0.081683,0.242936,3.833038,6468.46
155,2000,0.010974,0.039505,0.475009,0.076319,0.243169,3.833253,6596.03
156,2000,0.011148,0.037036,0.405297,0.065609,0.212053,3.848390,6762.59
157,2000,0.012817,0.041234,0.407264,0.068123,0.202488,3.845332,6514.41
158,2000,0.013616,0.042473,0.370117,0.074345,0.218088,3.847762,6388.33
