#{"t_start": 1772158297.3285942, "env_id": "None"}
r,l,t
5655.953014,714,11.271199
10637.826353,856,21.482668
10136.957762,663,29.362415
7470.049585,469,35.033968
7705.791794,464,40.578542
8380.560025,465,46.20741
6947.678439,445,51.521077
7014.771741,504,57.726743
8727.883967,723,66.429629
8745.947964,726,75.041038
7568.58192,476,80.693573
7618.18768,450,86.145775
6827.327145,485,91.925608
6978.870128,485,97.717906
7682.615897,475,103.33115
9881.072131,758,112.273946
10132.634469,760,121.365858
7791.852491,758,130.5205
7178.538607,760,139.64364
11259.664647,1626,159.297269
14479.972562,1230,174.073449
15379.566833,1215,188.550425
17834.102223,1312,203.590516
17605.508618,1314,218.838292
17389.133645,1318,234.104131
6673.405617,488,239.881781
6639.645014,489,245.600516
7130.701958,458,250.977529
6433.316092,489,256.782381
6589.413532,490,262.605545
7092.499954,458,267.996732
6695.976963,485,273.725366
6546.246111,480,279.424431
6671.807101,478,285.090818
5825.570458,480,290.911391
6925.022198,482,296.613169
6744.154926,485,302.418514
6515.457067,487,308.193157
6025.860896,453,313.59139
6741.113195,452,318.928278
6159.072343,477,324.586719
7147.721124,472,330.187635
6448.686879,469,335.750476
5228.800667,467,341.298155
5468.314484,554,347.924356
5305.196572,557,354.813893
7905.53985,564,361.786081
7395.826656,554,368.433939
-575.16719,1,368.458293
-592.489408,1,368.485883
7888.882725,572,375.360161
5553.182595,496,381.281247
4845.467553,569,388.087481
10190.737884,906,398.900709
23072.387956,1919,421.917
7465.989069,1634,441.466202
19751.332303,1916,464.425322
11046.370756,1064,477.245149
5763.691709,858,487.687985
5397.968681,778,496.975533
9113.970821,778,506.27816
-573.696049,1,506.304991
7582.837204,872,516.757017
-573.147466,1,516.786909
-592.540157,1,516.807726
4474.852314,790,525.849535
-934.534282,48,526.411618
7308.612566,849,536.290969
14877.972726,1527,554.170647
15493.829389,1532,572.058081
18632.41485,1617,591.108871
10774.322482,1540,609.311673
16653.173391,1935,632.233281
12353.41236,1524,650.300804
11315.648659,1524,668.59345
11868.725402,1531,687.019232
-1479.452495,63,687.796685
9727.141438,1542,706.287604
-582.510807,1,706.322079
13146.274104,1534,724.655566
18822.880093,1925,747.616212
-591.908951,1,747.649882
21839.979284,1928,770.78242
21977.759691,1918,793.793252
13440.222471,1317,809.68682
14428.923802,1224,824.438449
13982.89798,1220,839.125877
14665.789202,1217,853.783108
15018.6328,1222,867.941198
16846.998334,1225,882.037336
24841.171577,1915,904.489916
22266.139143,1920,927.045662
23536.560766,1915,949.734969
23046.881992,1911,972.679508
25063.867924,1908,995.544245
25151.331669,1909,1018.590149
28028.679251,1905,1041.555263
-592.129694,1,1041.579948
-809.959154,32,1041.960785
27046.23262,1906,1064.75851
-878.041313,45,1065.329968
26708.929052,1909,1088.333223
26745.781403,1911,1111.376898
25811.777905,1914,1134.375443
26064.101973,1908,1157.486702
23089.784008,1920,1180.579475
27698.125098,1907,1203.097964
-592.348233,1,1203.158464
-592.057864,1,1203.17969
26956.688237,1910,1225.311831
27504.334419,1905,1247.582561
-592.321905,1,1247.635279
27630.448682,1908,1270.286097
28244.070745,1905,1292.974383
-592.058048,1,1293.029395
-592.49038,1,1293.055747
28263.289406,1906,1315.744992
28409.826491,1905,1338.409335
26701.389171,1907,1361.448055
26449.317532,1911,1384.746408
26086.818565,1912,1408.428633
-592.328202,1,1408.494923
27393.798013,1908,1431.462836
28483.486653,1901,1454.254916
25294.970451,1911,1477.24138
-592.006116,1,1477.296915
25556.62014,1909,1500.501484
25222.086579,1913,1523.618888
26795.447281,1907,1546.180043
-592.01912,1,1546.207523
29021.819639,1901,1569.42147
-591.920539,1,1569.446873
26123.584207,1911,1591.896718
-592.082903,1,1591.923004
27438.747475,1910,1613.389469
-592.333669,1,1613.419077
30522.534671,1900,1634.608709
28173.845677,1907,1656.325331
27700.301429,1904,1677.840526
26925.773923,1911,1699.528208
27656.764672,1907,1720.942179
25273.043665,1918,1742.52477
28550.60494,1905,1764.126467
27558.272413,1906,1785.579431
29549.29996,1902,1807.013916
27031.075338,1906,1828.612023
24168.985523,1912,1850.315263
29418.956316,1901,1872.005162
28315.977814,1901,1892.882724
-592.278259,1,1892.907592
26048.568399,1903,1913.841672
25595.370759,1904,1934.953911
23014.55738,1907,1956.260587
23155.585135,1906,1977.513005
19871.16229,1516,1994.496338
18089.318983,1506,2011.589772
20930.867273,1515,2028.631331
25486.107978,1910,2050.168303
23911.296413,1917,2071.784803
-592.391768,1,2071.820198
26853.080387,1910,2093.560205
29699.976539,1902,2115.27921
26017.541922,1910,2136.935613
27795.35896,1903,2158.938721
-591.930058,1,2158.970311
26060.673355,1909,2180.575401
-592.261681,1,2180.602468
26191.429596,1904,2202.22608
27027.839267,1906,2223.591761
24234.453416,1910,2244.541214
25784.293862,1907,2265.62438
28895.390463,1903,2286.928086
28687.895845,1903,2308.102538
30518.95617,1902,2329.445792
27217.334383,1907,2350.964888
-592.300481,1,2350.989138
29205.20068,1902,2372.276079
-592.225136,1,2372.304566
29599.109944,1903,2393.651917
28423.990724,1904,2415.290376
27269.211843,1906,2436.957827
-592.191931,1,2436.986129
29612.592603,1900,2458.617769
27400.915546,1911,2480.260238
28776.223788,1905,2501.870204
26394.503648,1912,2523.509158
26571.052653,1911,2545.220567
26649.095171,1908,2566.327437
26955.795649,1908,2587.167042
26180.001493,1905,2608.111731
25682.064614,1905,2629.518355
24234.14163,1917,2650.994563
23853.150987,1910,2672.35519
26796.115996,1906,2693.884297
25609.303747,1907,2715.340103
26802.309854,1910,2736.747034
27474.775927,1909,2758.872845
27370.45662,1906,2780.374664
25002.606553,1911,2802.101446
24378.879102,1916,2823.909634
23102.547068,1919,2845.515102
23652.809996,1917,2867.194736
25182.592787,1911,2889.02043
26738.69833,1907,2909.916848
27615.868742,1907,2930.722484
-592.393213,1,2930.747646
25817.608293,1913,2952.048553
25620.723212,1905,2973.370341
25281.250134,1906,2994.734825
-592.399711,1,2994.763399
27049.727957,1906,3016.268691
24063.56608,1913,3037.738023
-592.300703,1,3037.768811
24440.884583,1906,3059.395735
-592.121561,1,3059.422325
-592.337898,1,3059.445866
-592.393659,1,3059.468137
24313.214662,1906,3081.214061
26366.530104,1909,3102.958411
-592.401523,1,3102.982237
24653.373295,1916,3124.597693
25664.161801,1910,3146.273623
27950.127969,1904,3167.744973
25997.555199,1907,3189.302955
27885.743171,1910,3210.987689
28372.344931,1901,3232.448525
27768.910428,1902,3253.261421
30408.172633,1897,3274.234363
27379.805934,1902,3295.382908
27953.533253,1903,3316.697207
29947.397732,1899,3337.897026
-592.33732,1,3337.92336
