episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
1,714,0,0,heading_error,44.53,0.574865,0.732155,2.904414,0.134782,0.188266,1.029706,0.036731,0.052005,0.298108,3.78,0.249329,5655.95
2,856,0,0,tilt_error,73.00,0.381276,0.546040,2.410666,0.120760,0.152122,0.629952,0.040795,0.050702,0.360595,3.79,0.032746,10637.83
3,663,0,0,tilt_error,39.69,0.245446,0.343626,2.287078,0.114573,0.144741,0.592883,0.039331,0.053936,0.349692,3.78,0.023058,10136.96
4,469,0,0,tilt_error,2.47,0.268578,0.479334,2.267547,0.110377,0.182929,0.668413,0.033834,0.059573,0.364460,3.75,0.022401,7470.05
5,464,0,0,tilt_error,1.89,0.231428,0.421728,2.263978,0.096600,0.159688,0.545897,0.031010,0.056524,0.350165,3.76,0.022916,7705.79
6,465,0,0,tilt_error,1.75,0.192445,0.372079,2.282224,0.088105,0.145336,0.548561,0.030634,0.057188,0.370943,3.76,0.022268,8380.56
7,445,0,0,tilt_error,0.59,0.339783,0.552650,2.156997,0.063569,0.127988,0.610291,0.030658,0.060156,0.358436,3.74,0.036404,6947.68
8,504,0,0,tilt_error,5.59,0.297905,0.469676,2.146975,0.089017,0.147594,0.546954,0.034759,0.059481,0.371422,3.76,0.035395,7014.77
9,723,0,0,heading_error,48.75,0.360625,0.426758,2.319457,0.086606,0.144555,1.032028,0.033115,0.037360,0.173824,3.80,0.036799,8727.88
10,726,0,0,heading_error,49.12,0.356931,0.427255,2.405743,0.094054,0.152176,1.040140,0.035039,0.042219,0.175403,3.79,0.035857,8745.95
11,476,0,0,tilt_error,3.62,0.253956,0.401379,2.201441,0.110946,0.180795,0.657549,0.033224,0.057952,0.356697,3.75,0.036362,7568.58
12,450,0,0,heading_error,4.26,0.233860,0.433338,2.407682,0.118595,0.217012,1.037379,0.025761,0.042801,0.172281,3.75,0.038137,7618.19
13,485,0,0,tilt_error,4.29,0.368759,0.663057,2.537256,0.147488,0.243011,0.949657,0.036184,0.061507,0.350562,3.75,0.040311,6827.33
14,485,0,0,tilt_error,4.06,0.340419,0.594020,2.312535,0.138340,0.225648,0.860174,0.035815,0.061720,0.372436,3.75,0.042651,6978.87
15,475,0,0,tilt_error,2.85,0.239243,0.404465,2.269385,0.108182,0.172839,0.602833,0.030631,0.056038,0.352015,3.76,0.060460,7682.62
16,758,0,0,tilt_error,54.83,0.360061,0.507105,2.536671,0.106872,0.159049,0.852166,0.039143,0.053205,0.354702,3.78,0.059231,9881.07
17,760,0,0,tilt_error,55.18,0.353181,0.519683,2.739086,0.110750,0.158414,0.837068,0.039713,0.053158,0.364063,3.78,0.059342,10132.63
