#{"t_start": 1772260924.8721814, "env_id": "None"}
r,l,t
6914.973694,747,6.616404
9213.067104,761,14.522202
7835.029276,401,18.583052
7805.480317,402,22.681813
7452.122402,432,27.232584
7268.270525,431,31.746463
7593.949777,538,37.234635
9598.22513,716,44.505718
9414.52562,601,50.645389
7419.51431,439,55.110372
7496.099359,438,59.628035
7662.030677,442,63.9968
7705.933613,445,68.458455
7176.208775,479,73.28986
7778.540507,439,77.698309
7152.895073,478,82.486514
7786.63718,447,86.976896
7430.289746,481,91.855554
7449.122224,477,96.656598
7513.563818,482,101.607456
7503.271409,480,106.450151
7530.517028,480,111.290008
7560.219312,482,116.201791
5239.405961,473,121.034747
2609.970304,468,125.800485
5083.802456,472,130.665592
7608.549627,472,135.528867
7523.18904,468,140.378316
7627.541197,469,145.206836
7640.250143,475,150.09136
7428.391102,478,155.028546
7555.611463,483,160.018724
7650.860147,481,164.971404
7914.222741,498,170.05911
7737.265203,494,175.164181
4621.840139,475,180.039783
7942.111421,487,185.08117
5872.787324,471,189.97926
3775.659447,463,194.844039
7042.236741,472,199.631539
6774.624095,472,204.384945
5689.133317,468,209.111708
5973.363429,473,213.924312
-1216.718546,180,215.762291
8093.788165,482,220.604221
6444.550905,476,225.464046
-576.400907,1,225.489415
8149.025731,570,231.26264
6794.617289,563,237.060098
7358.08679,571,242.975531
-575.346827,1,242.996629
3947.417639,570,248.853443
3541.873909,577,254.791157
-1888.766755,123,256.0598
-1927.07476,114,257.265807
657.459767,623,263.637501
8187.631009,672,270.543537
7915.568223,669,277.492436
4359.230706,575,283.489778
-2315.625383,125,284.786793
-1216.168682,63,285.453314
-1958.814999,107,286.567707
4008.933284,712,293.94023
-1353.956358,75,294.730761
-586.702612,1,294.748717
-813.973767,106,295.85219
-1240.505196,68,296.590494
6515.64804,743,304.231744
-1729.935529,97,305.243569
-1069.433688,92,306.200243
-1376.432112,94,307.2109
-840.166612,107,308.324455
-985.217891,104,309.400092
-585.073667,1,309.420408
286.542388,126,310.747225
-589.059554,1,310.77317
-1697.52809,77,311.599015
-590.970541,1,311.62373
-1195.353793,56,312.246365
-220.10794,100,313.34354
9199.931406,758,321.183197
-573.700599,1,321.204257
-1707.90981,76,322.023797
-590.955821,1,322.049315
-1864.214042,110,323.229059
-1183.53333,64,323.897536
-1614.428953,76,324.705708
-590.95392,1,324.722914
-592.028287,1,324.751556
-1743.762954,106,325.876473
9876.249686,716,333.386463
-574.505905,1,333.408165
-870.093458,47,333.937308
-939.194393,48,334.434783
-591.405516,1,334.453824
-970.050737,47,334.937766
9788.154945,727,342.111473
-573.94781,1,342.138905
-765.187715,28,342.417413
-789.07869,30,342.742868
-844.258277,35,343.101669
-591.908039,1,343.125946
-843.980655,40,343.519147
-129.324441,91,344.461888
-1239.927362,89,345.348761
-1643.093899,89,346.242509
-949.233745,89,347.130888
-870.359695,38,347.54774
1286.862276,181,349.373631
-353.587561,106,350.448918
-589.897829,1,350.473949
9882.468056,710,357.560025
-646.900621,89,358.457993
4362.160566,310,361.564879
-1112.568912,62,362.19956
-648.216146,136,363.72033
170.742109,203,365.767962
-1272.844382,131,367.090995
10129.924157,741,374.770634
-1116.700164,59,375.386953
903.500494,198,377.397618
-915.779406,89,378.302266
-585.702194,1,378.32168
806.326873,164,380.005249
-587.868847,1,380.029247
-1008.478594,86,380.907918
-1263.669854,53,381.465952
-591.473282,1,381.490294
-592.008412,1,381.507313
-592.197837,1,381.53407
-1340.184611,52,382.10141
-591.49694,1,382.121044
254.209427,164,383.811449
-1322.19749,130,385.166732
4186.967636,340,388.631283
-1306.686508,50,389.150969
-465.601677,129,390.484433
-589.029295,1,390.505335
722.879223,165,392.24981
9745.379489,745,399.91268
-1218.437688,110,401.045174
-1157.854352,88,401.973705
620.088206,165,403.692714
-604.031637,95,404.661009
9924.830001,740,412.243712
1105.547205,323,415.559061
