episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
1,747,0,0,tilt_error,52.59,0.420980,0.556951,2.383772,0.103814,0.134676,0.522797,0.031753,0.045827,0.360994,3.80,0.239428,6914.97
2,761,0,0,tilt_error,56.26,0.365354,0.379859,2.021158,0.084610,0.117778,0.504503,0.034252,0.046216,0.367009,3.80,0.031587,9213.07
3,401,0,0,heading_error,5.14,0.168894,0.402720,2.390743,0.061419,0.183656,1.019295,0.016111,0.031277,0.151595,3.76,0.032958,7835.03
4,402,0,0,heading_error,5.30,0.168162,0.403467,2.385193,0.064648,0.192326,1.045017,0.014931,0.028200,0.141881,3.77,0.031363,7805.48
5,432,0,0,tilt_error,4.96,0.221528,0.440513,2.377261,0.079108,0.190477,0.758528,0.025725,0.055068,0.351932,3.76,0.032160,7452.12
6,431,0,0,tilt_error,5.98,0.231483,0.484978,2.382931,0.084078,0.205999,0.852108,0.026200,0.056616,0.361841,3.76,0.033538,7268.27
7,538,0,0,tilt_error,21.24,0.320462,0.571361,2.368878,0.110936,0.183585,0.727074,0.035084,0.059232,0.360850,3.77,0.034851,7593.95
8,716,0,0,tilt_error,47.92,0.366394,0.697205,3.334764,0.126858,0.180000,0.857352,0.034045,0.053569,0.357787,3.79,0.036984,9598.23
9,601,0,0,tilt_error,29.26,0.228383,0.379546,2.370957,0.093272,0.135742,0.524516,0.030376,0.055268,0.365535,3.78,0.052413,9414.53
10,439,0,0,tilt_error,4.99,0.222903,0.450040,2.372658,0.084821,0.187769,0.732515,0.027220,0.056858,0.362066,3.75,0.056049,7419.51
11,438,0,0,tilt_error,4.59,0.218256,0.442120,2.376905,0.079416,0.180580,0.698544,0.025853,0.056123,0.367673,3.75,0.061717,7496.10
12,442,0,0,tilt_error,3.93,0.203571,0.428917,2.376564,0.078217,0.169804,0.604746,0.025353,0.055529,0.362902,3.76,0.058917,7662.03
13,445,0,0,tilt_error,3.83,0.202538,0.424560,2.376920,0.080531,0.171985,0.630116,0.025952,0.056348,0.366232,3.76,0.060973,7705.93
14,479,0,0,tilt_error,3.29,0.291928,0.530232,2.381712,0.112979,0.209537,0.749577,0.028478,0.055248,0.371069,3.77,0.068424,7176.21
15,439,0,0,tilt_error,3.73,0.200257,0.421183,2.377724,0.075680,0.166417,0.603329,0.025179,0.055104,0.369757,3.76,0.070413,7778.54
16,478,0,0,tilt_error,3.34,0.310806,0.587028,2.384005,0.120193,0.227439,0.842841,0.029631,0.056772,0.371171,3.76,0.065920,7152.90
17,447,0,0,tilt_error,3.50,0.203434,0.416811,2.382959,0.086689,0.178612,0.773402,0.027285,0.057384,0.365467,3.75,0.061522,7786.64
18,481,0,0,tilt_error,2.68,0.269561,0.478904,2.381596,0.100763,0.183133,0.604107,0.025735,0.051217,0.362834,3.77,0.058553,7430.29
19,477,0,0,tilt_error,3.05,0.251825,0.476769,2.369379,0.106584,0.189913,0.633091,0.026386,0.050935,0.351546,3.77,0.048173,7449.12
20,482,0,0,tilt_error,2.77,0.242025,0.456951,2.369789,0.100821,0.175368,0.534376,0.025584,0.049964,0.356230,3.77,0.048587,7513.56
21,480,0,0,tilt_error,2.88,0.242625,0.459403,2.371647,0.102045,0.178459,0.564080,0.025829,0.050387,0.354045,3.77,0.045773,7503.27
22,480,0,0,tilt_error,2.74,0.229298,0.453752,2.368371,0.101231,0.172189,0.551268,0.025647,0.051194,0.367554,3.77,0.046688,7530.52
23,482,0,0,tilt_error,2.57,0.224493,0.447573,2.283160,0.099725,0.167654,0.523864,0.025220,0.050149,0.354739,3.77,0.043334,7560.22
24,473,0,0,tilt_error,3.12,0.394654,0.306571,1.878305,0.096311,0.163805,0.528510,0.025510,0.050341,0.356750,3.77,0.052329,5239.41
25,468,0,0,tilt_error,3.43,0.469926,0.276886,1.672900,0.099605,0.164492,0.557297,0.027052,0.051570,0.362408,3.77,0.059100,2609.97
26,472,0,0,tilt_error,2.92,0.381664,0.314541,1.947364,0.100944,0.165500,0.549914,0.027422,0.051855,0.368971,3.77,0.066387,5083.80
27,472,0,0,tilt_error,2.39,0.217234,0.450656,2.264914,0.099283,0.173100,0.589107,0.025690,0.051434,0.353464,3.77,0.056178,7608.55
28,468,0,0,tilt_error,2.56,0.238676,0.479544,2.368529,0.106249,0.185731,0.624315,0.026866,0.053778,0.358226,3.77,0.063798,7523.19
29,469,0,0,tilt_error,2.57,0.224764,0.446016,2.291891,0.102234,0.179024,0.577653,0.026184,0.052469,0.357894,3.77,0.054860,7627.54
